11111,11111
0,0
79385,79712
95099,96379
95092,96374
95087,96340
95042,96346
95148,96366
95169,96402
95165,96422
95142,96374
95117,96401
95198,96364
95259,96417
95199,96412
95207,96377
95155,96396
95247,96392
95289,96424
95229,96385
95275,96378
95256,96402
95280,96421
95353,96432
95290,96444
95283,96412
95280,96413
95354,96440
95344,96441
95332,96417
95334,96452
95295,96401
95366,96449
95407,96458
95339,96414
95345,96425
95271,96401
95379,96456
95384,96459
95321,96411
95316,96388
95261,96442
95376,96438
95360,96473
95343,96428
95349,96428
95327,96372
95408,96457
95360,96474
95410,96438
95381,96466
95342,96433
95434,96514
95440,96491
95460,96478
95433,96482
95414,96474
95482,96508
95489,96490
95511,96518
95460,96487
95515,96495
95581,96531
95562,96546
95567,96522
95543,96519
95558,96496
95651,96585
95608,96568
95650,96539
95575,96536
95627,96549
95655,96609
95664,96546
95682,96597
95628,96533
95609,96557
95722,96602
95720,96608
95725,96580
95735,96584
95704,96606
95762,96606
95845,96633
95792,96634
95777,96594
95846,96626
95876,96655
95875,96666
95858,96614
95885,96640
95843,96642
95919,96657
95961,96719
95954,96672
95907,96670
95956,96674
96001,96720
96002,96679
96004,96732
95985,96670
96025,96712
96011,96681
96079,96731
96057,96726
95982,96668
96057,96728
96121,96722
96123,96759
96089,96710
96052,96679
96121,96741
96150,96762
96169,96773
96130,96736
96106,96696
96179,96751
96209,96770
96212,96794
96188,96748
96195,96742
96201,96778
96283,96804
96256,96820
96301,96802
96216,96761
96559,96911
95011,96190
94920,96145
95173,96270
95193,96281
95144,96240
95360,96328
95349,96346
95328,96317
95261,96290
95293,96315
95349,96311
95355,96319
95351,96300
95314,96317
95274,96305
95356,96352
95377,96333
95358,96303
95370,96312
95274,96315
95379,96337
95375,96353
95395,96348
95373,96341
95351,96302
95382,96345
95423,96334
95395,96369
95387,96332
95394,96308
95452,96401
95455,96362
95480,96379
95415,96357
95426,96363
95466,96369
95575,96401
95482,96367
95488,96366
95509,96383
95599,96400
95590,96436
95575,96401
95561,96424
95548,96414
95641,96418
95653,96474
95624,96430
95647,96437
95651,96458
95688,96465
95726,96462
95737,96480
95734,96471
95703,96487
95789,96505
95762,96524
95768,96464
95739,96468
95761,96465
95826,96557
95797,96522
95822,96523
95736,96508
95775,96509
95840,96521
95883,96579
95865,96500
95852,96498
95837,96531
95887,96547
95895,96559
95880,96544
95868,96512
95909,96526
95949,96592
95944,96571
95923,96577
95898,96535
95952,96549
95969,96612
95974,96563
95987,96592
95927,96557
95968,96558
96018,96613
95976,96590
96005,96597
95948,96566
96003,96572
96025,96616
96041,96574
96002,96617
95978,96552
96025,96596
96067,96602
96098,96603
96049,96606
96005,96582
96054,96579
96092,96627
96069,96600
96091,96634
96061,96607
96070,96615
96142,96630
96146,96643
96113,96672
96091,96623
96170,96602
96214,96695
96159,96634
96209,96675
96166,96653
96210,96685
96282,96667
96327,96722
96305,96685
96270,96674
96357,96729
96399,96759
